#      Train        Test
     0.81431     0.895833 
    0.810903     0.881944 
    0.792164     0.881944 
    0.833049     0.881944 
    0.819421     0.854167 
    0.788756     0.881944 
    0.793867        0.875 
    0.776831     0.902778 
    0.793867     0.868056 
    0.809199        0.875 
    0.824532     0.833333 
    0.831346     0.805556 
    0.822828     0.881944 
    0.805792     0.881944 
     0.81431     0.868056 
    0.788756     0.895833 
    0.798978        0.875 
    0.798978     0.868056 
    0.802385     0.881944 
    0.844974     0.868056 
    0.829642     0.854167 
    0.816014        0.875 
    0.817717     0.833333 
    0.821124     0.881944 
    0.827939     0.840278 
    0.797274     0.854167 
     0.81431     0.868056 
    0.805792     0.868056 
    0.826235        0.875 
    0.826235     0.895833 
     0.81431     0.854167 
    0.822828     0.854167 
    0.816014     0.840278 
    0.819421     0.854167 
    0.819421        0.875 
    0.824532     0.854167 
    0.812606     0.895833 
    0.800681     0.909722 
    0.810903     0.881944 
    0.824532     0.840278 
     0.79046     0.881944 
    0.800681     0.888889 
     0.81431     0.902778 
     0.81431     0.888889 
    0.821124     0.888889 
     0.81431     0.840278 
    0.809199     0.847222 
    0.810903     0.840278 
    0.805792        0.875 
    0.834753     0.847222 
    0.797274     0.881944 
    0.804089     0.868056 
    0.788756        0.875 
     0.81431     0.861111 
    0.810903     0.861111 
    0.821124     0.881944 
    0.824532     0.895833 
    0.817717       0.8125 
     0.81431        0.875 
    0.792164     0.895833 
    0.810903        0.875 
    0.817717     0.868056 
    0.810903        0.875 
    0.822828     0.881944 
    0.822828     0.840278 
    0.805792     0.881944 
    0.827939     0.861111 
    0.807496     0.854167 
    0.792164     0.888889 
     0.81431     0.861111 
    0.800681     0.881944 
    0.810903     0.881944 
    0.834753     0.868056 
    0.812606     0.888889 
    0.829642     0.847222 
    0.783646     0.868056 
    0.819421     0.888889 
    0.824532     0.840278 
    0.822828     0.847222 
    0.809199     0.868056 
    0.821124     0.868056 
    0.802385     0.861111 
    0.798978     0.861111 
    0.807496        0.875 
    0.812606     0.861111 
    0.824532     0.861111 
    0.822828     0.868056 
    0.816014     0.888889 
    0.819421     0.847222 
    0.819421     0.868056 
    0.822828     0.854167 
    0.822828     0.861111 
    0.807496     0.868056 
    0.829642        0.875 
    0.836457     0.826389 
    0.829642     0.895833 
    0.826235     0.888889 
    0.775128     0.895833 
    0.792164        0.875 
    0.821124     0.881944 
    0.810903     0.902778 
    0.805792     0.868056 
    0.816014     0.881944 
    0.824532     0.840278 
    0.807496        0.875 
    0.810903     0.881944 
    0.800681     0.881944 
    0.836457     0.847222 
    0.819421     0.881944 
     0.81431     0.881944 
    0.846678        0.875 
    0.827939     0.847222 
    0.798978     0.895833 
    0.822828     0.888889 
    0.812606     0.888889 
    0.826235     0.854167 
    0.826235     0.881944 
    0.807496     0.881944 
    0.812606     0.888889 
    0.810903     0.833333 
    0.810903     0.895833 
    0.821124     0.881944 
    0.809199        0.875 
    0.833049     0.881944 
    0.812606        0.875 
    0.812606     0.854167 
    0.800681     0.861111 
    0.805792     0.868056 
    0.824532     0.847222 
    0.812606     0.847222 
    0.807496        0.875 
    0.822828        0.875 
    0.816014     0.868056 
    0.798978     0.861111 
    0.797274     0.861111 
    0.816014     0.861111 
    0.812606     0.868056 
    0.831346        0.875 
    0.807496     0.888889 
    0.810903     0.840278 
    0.800681        0.875 
    0.829642     0.847222 
    0.831346        0.875 
    0.809199        0.875 
    0.809199     0.881944 
