#      Train        Test
     4.09839      3.07025 
     4.20181      3.23887 
     4.08322      3.08298 
     3.95397      3.75353 
     3.94724      3.13845 
     4.09215      3.05729 
     4.41633      3.21961 
     4.36357      3.34531 
     4.28825      3.10039 
     4.11814      3.31931 
     4.28182      3.48127 
     4.24292      3.81517 
     4.03019      4.16685 
     4.19504      3.27686 
     4.26123      3.84426 
     4.24503      3.23612 
     4.00449      3.60652 
     4.11171      3.89355 
     4.32483      3.22087 
     4.02693      3.45543 
     4.20103      3.98056 
     4.35803      2.89679 
     3.98765      2.83964 
     4.11163      3.31533 
      3.9846      3.34192 
     3.96673      3.24932 
     4.21233       3.6611 
     4.12689      3.22379 
     4.30241      4.12485 
     4.24817      3.44915 
     4.20564      3.76933 
     4.19007      3.61295 
     4.02799      3.23742 
     4.27998       3.3804 
     4.15976      3.93552 
     4.31489      3.59451 
     4.33817      3.13611 
     4.12314       4.0383 
     4.32369      3.67308 
     4.21638      3.54902 
     4.22665       3.4371 
     4.30734      3.86158 
     4.15089      3.37976 
      4.3339      4.08428 
     4.20254      3.83121 
     4.13957      3.21141 
     3.89497      3.35995 
     4.29331      2.73956 
     4.30853      3.24336 
     4.29161      3.55478 
     4.16479      3.56128 
     3.92039      3.32882 
     4.22227      3.17762 
     4.21662      3.67978 
     4.31069      3.51458 
     4.42287      3.40153 
     4.27067      3.39669 
     4.07418      3.55554 
     4.05514        3.752 
     3.99974       3.7509 
     3.93897      3.38343 
     4.24228      3.42421 
      4.0438      3.97429 
     4.23005      3.38618 
     4.21285      4.09684 
      4.2884      3.17655 
     3.85288      3.24677 
     3.88229      3.98434 
      4.0779      3.68979 
     3.87824      4.19317 
       4.171      3.73093 
      3.9209      3.35053 
     3.95043      3.81734 
     3.94639      3.18408 
     3.85804      3.65158 
     4.22329      3.60998 
     4.01566      4.44113 
     4.23463      3.38798 
     4.12536      3.87565 
      4.0498      3.32626 
      3.9309      3.42154 
     4.18814      3.18167 
     3.95956      3.71331 
     4.09481       3.0763 
     4.11327      3.20895 
     3.86178      3.81545 
     4.24727      3.14064 
     4.19368      3.10691 
     3.97704      3.47554 
     4.07147      3.24511 
     4.17088      3.69159 
     3.92711      3.85436 
     3.91869      3.08506 
     4.01607      3.51736 
     3.98098      4.34638 
     4.17604      2.93055 
     4.45404      3.55948 
       3.866      2.81448 
     4.03584      3.50182 
     3.98063       4.0375 
     3.98844      3.25885 
     3.96512      3.88932 
     4.21939      3.89629 
     4.05796      3.21993 
     4.37706       4.0939 
     4.02257      4.17124 
     4.07101       4.2221 
     3.92279      3.78651 
     4.12873      3.42716 
     3.84414      3.19466 
     3.91756      3.88816 
     3.95816      3.12013 
     3.89466       3.1774 
     4.08553      3.66927 
     4.10178      3.71253 
     3.95937      3.53742 
     4.01003      3.55901 
     3.91489      2.88546 
     3.92684      3.17614 
     3.85333      3.08069 
     3.87582      3.37402 
     4.03358      3.01504 
     4.09974      3.44397 
     4.16716      3.69987 
     4.20797      4.51949 
     4.24014      3.77848 
     3.87087      3.15466 
     3.83223      3.49743 
     3.94332      3.16759 
     4.05748      3.75403 
     4.04547      3.01757 
     4.07824      4.01911 
     4.09395      2.89389 
     4.11488      3.56866 
      4.2286      3.33618 
     4.09483       3.2995 
     4.03726      3.03772 
     3.88865      3.07717 
     4.12114       2.9563 
     3.84729      3.70848 
      4.2148      4.26698 
     4.12766      3.47161 
     4.15778      3.31489 
     4.12261      3.58059 
     3.87966      3.22253 
       4.063      3.46297 
     4.16215      3.32345 
     4.03074       3.7156 
     4.02968      3.54465 
     4.06804      3.86429 
     4.06827      3.36076 
     4.14545      3.57626 
     3.93412      3.04543 
     3.89072      3.51762 
      3.9252      3.30882 
     3.98901      3.70116 
     4.13661      2.93277 
      4.2345      3.63103 
     3.95896      3.35647 
     3.94227      3.39396 
     3.77502      3.29686 
     4.17255      3.75821 
     3.95165      3.50396 
     4.12573      3.94734 
     3.75982      2.90474 
     4.12958        3.331 
     4.08817      3.31758 
     4.21507      3.36852 
     3.89271      3.08696 
     4.07498      2.88899 
     3.91187      3.11718 
     4.19353       3.0581 
      3.8572      3.53799 
     4.23369      3.48575 
     3.86637      4.03149 
     4.05173      3.06678 
     3.95766      3.39859 
     4.14367      3.53549 
     4.17596      3.59203 
     4.02762      3.21426 
     3.75269      3.11685 
     3.99323      3.05751 
     4.00056      3.23814 
     4.05952      3.61123 
     3.89379      3.89256 
     4.05121      3.03251 
     3.89273      4.68608 
     4.04312      3.18391 
     3.87453      2.83653 
     3.66532      2.90895 
     3.93349      3.25823 
     3.91248      3.68973 
     4.12344      3.73433 
     3.86563      3.51192 
     3.74711      3.01583 
     3.98357       3.0557 
     3.88913      3.00484 
      3.6519      2.76635 
     3.70406      3.72548 
     3.86805      4.17542 
     3.95087      3.24647 
     4.01452      3.01548 
     4.12442      3.50726 
     4.05046      4.00106 
     4.27824       3.2977 
     4.17299       4.4945 
     4.12847      3.08824 
     4.04237      2.97119 
      4.0585      3.55329 
     3.98018      3.27226 
     4.03543      2.97122 
     4.02564      3.75384 
     3.82902       4.3035 
     3.65991      3.39569 
     4.14267      3.74302 
     4.13471      2.87104 
      3.9305       3.3849 
     4.13119      3.76991 
     3.92221      3.13536 
